__id,id_election,id_brut_miom,code_departement,code_commune,code_bv,no_panneau,voix,ratio_voix_inscrits,ratio_voix_exprimes,nuance,sexe,nom,prenom,liste,libelle_abrege_liste,libelle_etendu_liste,nom_tete_liste,binome
7022770,2024_legi_t2,21171_0009,21,21171,0009,4,255,31.84,52.15,UG,M,PRIBETICH,Pierre,,,,,
7022781,2024_legi_t2,21183_0001,21,21183,0001,4,128,20.06,31.14,UG,M,PRIBETICH,Pierre,,,,,
7022782,2024_legi_t2,21183_0002,21,21183,0002,4,37,29.37,44.58,UG,M,PRIBETICH,Pierre,,,,,
7022807,2024_legi_t2,21209_0001,21,21209,0001,4,253,35.19,50.7,UG,M,PRIBETICH,Pierre,,,,,
7022808,2024_legi_t2,21209_0002,21,21209,0002,4,274,34.16,51.89,UG,M,PRIBETICH,Pierre,,,,,
7022881,2024_legi_t2,21231_0053,21,21231,0053,4,335,33.8,61.58,UG,M,PRIBETICH,Pierre,,,,,
7022882,2024_legi_t2,21231_0054,21,21231,0054,4,339,39.19,64.57,UG,M,PRIBETICH,Pierre,,,,,
7022883,2024_legi_t2,21231_0055,21,21231,0055,4,273,35.92,63.34,UG,M,PRIBETICH,Pierre,,,,,
7022884,2024_legi_t2,21231_0056,21,21231,0056,4,432,40.11,68.14,UG,M,PRIBETICH,Pierre,,,,,
7022885,2024_legi_t2,21231_0057,21,21231,0057,4,396,43.42,69.84,UG,M,PRIBETICH,Pierre,,,,,
7022894,2024_legi_t2,21231_0066,21,21231,0066,4,118,37.82,59.6,UG,M,PRIBETICH,Pierre,,,,,
